;Studenter;Studenter;Studenter;
;2019;2019;2019;
Sted;Begge kjønn;Menn;Kvinner;
Lærested i alt;296182;119186;176996;
Nord universitet;10801;4001;6800;
Norges miljø- og biovitenskapelige universitet;5552;2166;3386;
Norges teknisk-naturvitenskapelige universitet;41654;20627;21027;
OsloMet - storbyuniversitetet;20729;6598;14131;
UiT - Norges arktiske universitet;16424;6749;9675;
Universitetet i Agder;12849;5358;7491;
Universitetet i Bergen;17955;7324;10631;
Universitetet i Oslo;27177;10841;16336;
Universitetet i Stavanger;11629;4728;6901;
Universitetet i Sørøst-Norge;17890;6786;11104;
Arkitektur- og designhøgskolen i Oslo;722;328;394;
Handelshøyskolen BI;19301;9726;9575;
Høgskolen i Molde - vitenskapelig høgskole i logistikk;2447;1063;1384;
Kunsthøgskolen i Oslo;569;187;382;
MF vitenskapelig høyskole for teologi, religion og samfunn;1287;471;816;
Norges Handelshøyskole;3623;2200;1423;
Norges idrettshøgskole;1133;574;559;
Norges musikkhøgskole;768;389;379;
VID vitenskapelige høgskole;4755;726;4029;
Høgskolen i Innlandet;14259;4810;9449;
Høgskolen i Østfold;6891;2418;4473;
Høgskulen i Volda;4234;1331;2903;
Høgskulen på Vestlandet;16134;5680;10454;
Sámi allaskuvla - Samisk høgskole;174;33;141;
Bjørknes Høyskole AS;1858;413;1445;
Dronning Mauds Minne Høgskole for barnehagelærerutdanning;1468;247;1221;
Høyskolen Kristiania;9105;3533;5572;
NLA Høgskolen;2700;884;1816;
Politihøgskolen;2921;1505;1416;
Militære høgskoler;493;400;93;
Andre høgskoler;4200;1567;2633;
Utlandet;14480;5523;8957;
